"Type","Name","# requests","# failures","Median response time","Average response time","Min response time","Max response time","Average Content Size","Requests/s","Requests Failed/s","50%","66%","75%","80%","90%","95%","98%","99%","99.9%","99.99%","99.999","100%"
"POST","/qa",5,5,3,5,2,14,142,0.03,0.03,3,3,3,15,15,15,15,15,15,15,15,15
"GET","/qa/1000/answers",7,0,1800,1843,1732,1958,736,0.04,0.00,1800,1900,1900,1900,2000,2000,2000,2000,2000,2000,2000,2000
"POST","/qa/1000/answers",4,4,5,5,3,7,9,0.02,0.02,5,5,8,8,8,8,8,8,8,8,8,8
"GET","/qa/10000",12,0,3700,3757,3552,3908,1294,0.07,0.00,3700,3800,3900,3900,3900,3900,3900,3900,3900,3900,3900,3900
"PUT","/qa/answer/10/helpful",5,5,6,5,3,7,9,0.03,0.03,6,6,6,7,7,7,7,7,7,7,7,7
"PUT","/qa/answer/10/report",2,2,4,6,4,9,11,0.01,0.01,10,10,10,10,10,10,10,10,10,10,10,10
"PUT","/qa/question/10000",11,11,2,2,1,3,156,0.07,0.07,2,3,3,3,3,3,3,3,3,3,3,3
"None","Aggregated",46,27,6,1263,1,3908,504,0.28,0.16,7,1800,3600,3700,3800,3900,3900,3900,3900,3900,3900,3900
