"Type","Name","# requests","# failures","Median response time","Average response time","Min response time","Max response time","Average Content Size","Requests/s","Requests Failed/s","50%","66%","75%","80%","90%","95%","98%","99%","99.9%","99.99%","99.999","100%"
"POST","/qa",2857,2857,8600,7400,9,19671,0,62.11,62.11,8600,8800,9000,9100,9900,10000,11000,17000,19000,20000,20000,20000
"GET","/qa/1000",12698,12698,9300,8032,7,19967,0,276.05,276.05,9300,9800,10000,10000,11000,11000,17000,18000,20000,20000,20000,20000
"GET","/qa/1000/answers",2740,2740,8600,7478,9,19754,0,59.57,59.57,8600,8800,9000,9200,10000,10000,11000,17000,19000,20000,20000,20000
"POST","/qa/1000/answers",2662,2662,8600,7526,9,19760,0,57.87,57.87,8600,8800,9000,9100,10000,10000,11000,18000,20000,20000,20000,20000
"PUT","/qa/answer/1/helpful",2665,2665,8600,7476,9,19832,0,57.94,57.94,8600,8800,9000,9100,9900,10000,11000,17000,20000,20000,20000,20000
"PUT","/qa/answer/1/report",2711,2711,8600,7558,9,35543,0,58.94,58.94,8600,8800,9000,9300,10000,10000,11000,17000,20000,36000,36000,36000
"PUT","/qa/question/10000/helpful",2748,2748,8600,7720,10,19942,0,59.74,59.74,8600,8800,9000,9200,10000,10000,14000,18000,20000,20000,20000,20000
"PUT","/qa/question/10000/report",2736,2736,8600,7638,10,19965,0,59.48,59.48,8600,8800,9000,9200,10000,10000,11000,17000,20000,20000,20000,20000
"None","Aggregated",31817,31817,8700,7737,7,35543,0,691.69,691.69,8700,9300,9500,9900,10000,11000,15000,18000,20000,20000,36000,36000
